payment_type,card_number,date_time,payment_status
americanexpress,3.37941E+14,6/15/2023,Failed
americanexpress,3.72301E+14,1/24/2024,Success
americanexpress,3.37942E+14,2/13/2024,Success
americanexpress,3.74622E+14,8/14/2023,Success
americanexpress,3.74622E+14,10/26/2023,Success
mastercard,5048378182392608,11/03/2023,Success
mastercard,5048371230128124,3/26/2023,Success
americanexpress,3.74284E+14,2/14/2024,Success
americanexpress,3.74622E+14,07/02/2023,Success
mastercard,5100149295422334,3/21/2023,Success
visa,4.0416E+12,03/09/2023,Success
mastercard,5108752850207446,04/02/2023,Success
americanexpress,3.74622E+14,9/15/2023,Success
mastercard,5048373921622324,2/19/2024,Success
mastercard,5007662794326339,6/29/2023,Success
mastercard,5100174379529739,4/18/2023,Success
mastercard,5048378368634237,05/12/2023,Success
mastercard,5002350640134652,01/04/2024,Pending
visa,4041371528249483,6/21/2023,Pending
americanexpress,3.37942E+14,4/20/2023,Pending
americanexpress,3.74288E+14,9/29/2023,Pending
mastercard,5108757399781306,4/27/2023,Pending
visa,4017950126258788,6/16/2023,Pending
americanexpress,3.74623E+14,05/03/2023,Pending
mastercard,5100148369522607,12/13/2023,Pending
americanexpress,3.74622E+14,2/17/2024,Pending
americanexpress,3.74288E+14,3/17/2023,Pending
americanexpress,3.74289E+14,07/04/2023,Pending
americanexpress,3.74623E+14,07/07/2023,Success
mastercard,5108753287684090,03/02/2024,Success
mastercard,5007665585817127,5/21/2023,Success
mastercard,5100133577627141,05/01/2023,Success
mastercard,5048371256634294,06/07/2023,Success
americanexpress,3.74284E+14,7/23/2023,Success
visa,4.04138E+12,02/05/2024,Success
mastercard,5010125975379498,7/19/2023,Success
americanexpress,3.37941E+14,10/19/2023,Success
americanexpress,3.72302E+14,02/08/2024,Success
visa,4041375096835052,3/19/2023,Success
americanexpress,3.37942E+14,08/08/2023,Success
mastercard,5007669625286798,3/13/2023,Success
visa,4041370402198295,3/19/2023,Success
mastercard,5108751373143922,1/27/2024,Success
americanexpress,3.37942E+14,8/26/2023,Success
americanexpress,3.74622E+14,4/25/2023,Success
mastercard,5100141273794982,8/19/2023,Success
visa,4.0416E+12,09/01/2023,Success
americanexpress,3.74623E+14,5/27/2023,Success
mastercard,5100137433968557,12/16/2023,Success
americanexpress,3.72302E+14,03/04/2023,Success
americanexpress,3.74283E+14,07/04/2023,Success
americanexpress,3.37941E+14,6/18/2023,Success
americanexpress,3.37942E+14,3/31/2023,Success
visa,4041371725897258,1/31/2024,Success
americanexpress,3.74283E+14,08/07/2023,Success
americanexpress,3.74623E+14,11/21/2023,Success
visa,4.04159E+12,06/05/2023,Success
americanexpress,3.74283E+14,12/15/2023,Success
mastercard,5100134714837338,2/17/2024,Success
americanexpress,3.74622E+14,5/22/2023,Success
americanexpress,3.74284E+14,05/02/2023,Success
mastercard,5100145796846104,8/18/2023,Success
mastercard,5108754373495508,9/16/2023,Success
mastercard,5048379910868489,7/19/2023,Success
mastercard,5048378559938728,2/16/2024,Success
americanexpress,3.72301E+14,10/22/2023,Failed
americanexpress,3.72301E+14,12/21/2023,Failed
americanexpress,3.74284E+14,06/08/2023,Failed
americanexpress,3.74622E+14,5/22/2023,Failed
visa,4.0416E+12,2/27/2024,Failed
americanexpress,3.74622E+14,10/24/2023,Failed
visa,4.04159E+12,04/11/2023,Failed
visa,4041590665677442,03/04/2023,Success
mastercard,5010124870971210,7/22/2023,Success
americanexpress,3.74623E+14,12/25/2023,Success
visa,4041597066928258,1/22/2024,Success
mastercard,5007668936628193,4/29/2023,Success
americanexpress,3.37942E+14,10/29/2023,Success
mastercard,5100138066732880,6/21/2023,Success
mastercard,5100149365207748,10/28/2023,Success
mastercard,5100144523195661,06/05/2023,Success
americanexpress,3.37941E+14,2/18/2024,Success
visa,4.0416E+12,9/13/2023,Success
americanexpress,3.37942E+14,5/13/2023,Success
mastercard,5100142848411565,10/10/2023,Success
americanexpress,3.72301E+14,10/06/2023,Success
mastercard,5048371498765435,09/11/2023,Success
mastercard,5100172805431967,08/04/2023,Success
mastercard,5010124412292794,02/12/2024,Pending
mastercard,5048371567580434,10/06/2023,Pending
americanexpress,3.37942E+14,08/02/2023,Pending
americanexpress,3.74623E+14,06/01/2023,Pending
visa,4041376826058775,5/25/2023,Pending
americanexpress,3.74622E+14,11/03/2023,Pending
americanexpress,3.74284E+14,07/07/2023,Pending
americanexpress,3.37942E+14,04/11/2023,Pending
americanexpress,3.37941E+14,09/06/2023,Pending
americanexpress,3.74622E+14,6/16/2023,Pending
mastercard,5007661529573769,02/12/2024,Pending
visa,4.01795E+12,03/09/2023,Success
americanexpress,3.72302E+14,04/04/2023,Success
americanexpress,3.37942E+14,8/20/2023,Success
mastercard,5100137470161975,5/24/2023,Success
americanexpress,3.37941E+14,5/17/2023,Success
americanexpress,3.74622E+14,7/18/2023,Success
mastercard,5108752637124401,10/13/2023,Success
americanexpress,3.74623E+14,6/25/2023,Success
americanexpress,3.74289E+14,11/26/2023,Success
americanexpress,3.74623E+14,12/16/2023,Success
americanexpress,3.37941E+14,03/02/2024,Success
visa,4.0416E+12,10/31/2023,Success
mastercard,5108755363546804,07/10/2023,Success
americanexpress,3.74622E+14,9/26/2023,Success
americanexpress,3.74622E+14,6/20/2023,Success
mastercard,5108757207417010,6/30/2023,Success
mastercard,5108750032325672,7/30/2023,Success
mastercard,5100139379677671,06/09/2023,Success
americanexpress,3.37942E+14,04/03/2023,Success
mastercard,5100133063807140,05/12/2023,Success
americanexpress,3.74283E+14,1/21/2024,Success
visa,4.04159E+12,2/13/2024,Success
mastercard,5108757163533990,10/18/2023,Success
mastercard,5007664840726058,12/23/2023,Success
mastercard,5010124359832800,07/08/2023,Success
americanexpress,3.72301E+14,5/25/2023,Success
americanexpress,3.74289E+14,6/22/2023,Success
americanexpress,3.74623E+14,7/28/2023,Success
visa,4.01796E+12,06/04/2023,Success
visa,4041590298715734,08/03/2023,Success
visa,4.04159E+12,03/01/2024,Success
mastercard,5108759804848613,01/08/2024,Success
visa,4041376145802135,04/07/2023,Success
mastercard,5100174967621229,1/25/2024,Success
mastercard,5100147914606311,4/15/2023,Success
americanexpress,3.74623E+14,12/22/2023,Success
mastercard,5100131757190096,3/17/2023,Success
americanexpress,3.37942E+14,10/06/2023,Failed
visa,4.0416E+12,04/09/2023,Failed
americanexpress,3.37942E+14,01/01/2024,Failed
visa,4.01795E+12,12/14/2023,Failed
mastercard,5010127650310764,10/28/2023,Failed
americanexpress,3.37941E+14,4/19/2023,Failed
mastercard,5108752156956480,10/31/2023,Failed
visa,4041598533666505,04/10/2023,Success
americanexpress,3.74288E+14,8/13/2023,Success
americanexpress,3.37942E+14,12/27/2023,Success
visa,4.04159E+12,1/17/2024,Success
mastercard,5002359550337734,3/26/2023,Success
americanexpress,3.37942E+14,1/30/2024,Success
visa,4.04159E+12,03/04/2023,Success
americanexpress,3.37942E+14,5/15/2023,Success
mastercard,5048371441861331,12/21/2023,Success
visa,4041591136985646,11/19/2023,Success
visa,4041379565973774,5/13/2023,Success
americanexpress,3.37941E+14,06/09/2023,Success
americanexpress,3.74283E+14,8/31/2023,Success
visa,4.04159E+12,1/27/2024,Success
mastercard,5100145231507774,3/22/2023,Success
americanexpress,3.37942E+14,12/08/2023,Success
visa,4.01795E+12,12/31/2023,Success
mastercard,5108750570244020,1/24/2024,Success
americanexpress,3.37942E+14,02/01/2024,Success
mastercard,5100172046932914,12/06/2023,Success
mastercard,5100135952182741,2/17/2024,Success
visa,4.04137E+12,11/25/2023,Success
visa,4017957367554908,6/17/2023,Success
americanexpress,3.74622E+14,4/19/2023,Success
americanexpress,3.72301E+14,10/16/2023,Success
americanexpress,3.37942E+14,06/05/2023,Success
visa,4017958562808248,7/26/2023,Success
americanexpress,3.37941E+14,10/09/2023,Success
mastercard,5100139355607932,8/17/2023,Success
americanexpress,3.37942E+14,10/08/2023,Success
visa,4.01795E+12,9/22/2023,Success
americanexpress,3.74289E+14,1/29/2024,Success
americanexpress,3.72301E+14,7/23/2023,Success
americanexpress,3.37942E+14,4/26/2023,Success
americanexpress,3.37941E+14,3/16/2023,Success
visa,4.0416E+12,2/15/2024,Success
mastercard,5108758728285787,1/25/2024,Success
americanexpress,3.37941E+14,9/21/2023,Success
mastercard,5108753405462734,9/16/2023,Success
visa,4041373372658447,7/27/2023,Success
visa,4.04159E+12,1/13/2024,Success
americanexpress,3.74283E+14,11/27/2023,Failed
mastercard,5100175365273893,4/20/2023,Success
visa,4017959630649507,3/25/2023,Success
americanexpress,3.37941E+14,11/23/2023,Success
americanexpress,3.72301E+14,12/11/2023,Success
americanexpress,3.74623E+14,01/09/2024,Success
americanexpress,3.37942E+14,03/01/2024,Success
visa,4.04159E+12,3/13/2023,Success
americanexpress,3.74284E+14,12/07/2023,Success
visa,4.0416E+12,8/15/2023,Success
americanexpress,3.37942E+14,01/11/2024,Success
visa,4041590959269401,4/23/2023,Success
mastercard,5108754443393493,09/01/2023,Success
mastercard,5100173219537985,02/08/2024,Success
americanexpress,3.37942E+14,9/25/2023,Success
mastercard,5002354642451320,09/02/2023,Success
americanexpress,3.74623E+14,10/24/2023,Success
mastercard,5048376766783739,2/25/2024,Success
mastercard,5007664456267280,01/12/2024,Success
mastercard,5108756239765362,09/01/2023,Success
americanexpress,3.74622E+14,7/24/2023,Success
americanexpress,3.74289E+14,08/12/2023,Success
mastercard,5100138599413693,10/24/2023,Success
mastercard,5100130365743536,7/30/2023,Success
mastercard,5108756291457437,2/24/2024,Success
mastercard,5108756765145757,10/17/2023,Success
americanexpress,3.37942E+14,2/13/2024,Success
americanexpress,3.74289E+14,9/25/2023,Success
americanexpress,3.74623E+14,1/17/2024,Success
mastercard,5100171614755673,9/22/2023,Success
americanexpress,3.74284E+14,1/17/2024,Success
americanexpress,3.37941E+14,3/13/2023,Success
americanexpress,3.37941E+14,2/19/2024,Pending
mastercard,5100136019467299,7/30/2023,Failed
americanexpress,3.37941E+14,2/18/2024,Failed
mastercard,5100134882875227,5/14/2023,Failed
mastercard,5007669870695255,3/16/2023,Failed
mastercard,5108758275358037,05/09/2023,Failed
visa,4.04137E+12,4/25/2023,Failed
mastercard,5100147486589689,5/23/2023,Failed
americanexpress,3.74289E+14,7/25/2023,Failed
mastercard,5002354872335912,12/25/2023,Failed
americanexpress,3.37941E+14,10/25/2023,Failed
mastercard,5108753383365222,10/03/2023,Failed
mastercard,5100133793011989,7/18/2023,Failed
americanexpress,3.37942E+14,5/18/2023,Failed
americanexpress,3.74622E+14,2/22/2024,Failed
americanexpress,3.37941E+14,10/31/2023,Failed
mastercard,5048371397230820,10/13/2023,Success
visa,4041370167090596,6/30/2023,Success
mastercard,5100179544567084,3/16/2023,Success
visa,4041592333835956,11/11/2023,Success
mastercard,5048372676393206,05/05/2023,Success
americanexpress,3.74283E+14,11/26/2023,Success
americanexpress,3.74283E+14,05/11/2023,Pending
visa,4041372168937817,03/01/2024,Pending
americanexpress,3.72302E+14,2/13/2024,Pending
mastercard,5010121968305947,11/08/2023,Pending
mastercard,5007668129961799,06/11/2023,Pending
americanexpress,3.74622E+14,01/01/2024,Pending
americanexpress,3.37941E+14,01/05/2024,Pending
mastercard,5108755764698626,9/14/2023,Pending
americanexpress,3.74284E+14,09/02/2023,Pending
visa,4.04137E+12,02/11/2024,Pending
americanexpress,3.37941E+14,11/26/2023,Pending
mastercard,5108756543176827,11/06/2023,Pending
americanexpress,3.74623E+14,11/11/2023,Pending
mastercard,5007669721554735,11/24/2023,Pending
americanexpress,3.74622E+14,01/07/2024,Success
americanexpress,3.74623E+14,11/24/2023,Success
americanexpress,3.37942E+14,08/02/2023,Success
visa,4.04138E+12,10/17/2023,Success
americanexpress,3.74283E+14,06/02/2023,Success
americanexpress,3.74622E+14,12/23/2023,Success
visa,4.04137E+12,5/14/2023,Success
mastercard,5100144927582795,04/07/2023,Success
visa,4.04137E+12,5/18/2023,Success
americanexpress,3.74623E+14,10/22/2023,Success
visa,4.04159E+12,01/08/2024,Success
americanexpress,3.74622E+14,10/14/2023,Success
mastercard,5010121295071154,12/31/2023,Success
americanexpress,3.74289E+14,6/13/2023,Success
mastercard,5108752980301473,11/04/2023,Success
visa,4.0416E+12,8/18/2023,Success
americanexpress,3.74623E+14,7/18/2023,Success
mastercard,5002356385470375,5/14/2023,Success
americanexpress,3.74288E+14,7/22/2023,Success
visa,4.01795E+12,09/08/2023,Success
americanexpress,3.74622E+14,9/19/2023,Success
mastercard,5007668820745822,4/25/2023,Success
mastercard,5100131321629322,3/24/2023,Success
visa,4041596257807362,03/01/2024,Success
mastercard,5048370429177132,08/04/2023,Success
mastercard,5100141455249912,01/03/2024,Success
mastercard,5100175531818886,4/24/2023,Success
americanexpress,3.74623E+14,5/28/2023,Success
mastercard,5048377875429024,09/06/2023,Success
mastercard,5108756762977400,9/23/2023,Success
mastercard,5100177750333894,04/02/2023,Success
visa,4.01796E+12,12/15/2023,Success
americanexpress,3.37941E+14,03/07/2023,Success
mastercard,5048371420542951,12/19/2023,Success
visa,4.04137E+12,11/01/2023,Success
americanexpress,3.37941E+14,05/05/2023,Success
americanexpress,3.74623E+14,1/24/2024,Success
americanexpress,3.74622E+14,04/04/2023,Success
americanexpress,3.74284E+14,6/13/2023,Success
americanexpress,3.74289E+14,06/12/2023,Success
mastercard,5100170394963622,7/20/2023,Success
americanexpress,3.74289E+14,1/15/2024,Success
americanexpress,3.37941E+14,06/05/2023,Failed
americanexpress,3.37942E+14,01/05/2024,Failed
visa,4041591227825073,4/20/2023,Failed
visa,4.01795E+12,10/23/2023,Failed
americanexpress,3.37942E+14,10/19/2023,Failed
mastercard,5100170047055305,5/25/2023,Failed
mastercard,5002354769853977,10/30/2023,Failed
americanexpress,3.74622E+14,8/29/2023,Success
mastercard,5002351184060311,11/20/2023,Success
visa,4.01795E+12,10/12/2023,Success
visa,4.04138E+12,1/24/2024,Success
americanexpress,3.37941E+14,07/03/2023,Success
mastercard,5048378137820513,11/17/2023,Success
visa,4017958917652283,11/02/2023,Success
mastercard,5010127922453053,5/27/2023,Success
visa,4041591659061965,05/04/2023,Success
mastercard,5100171583058281,12/11/2023,Success
visa,4.01795E+12,02/04/2024,Success
mastercard,5010123074810323,05/09/2023,Success
visa,4017955524815048,5/20/2023,Success
americanexpress,3.37941E+14,4/20/2023,Success
americanexpress,3.74284E+14,1/17/2024,Success
mastercard,5010126022051791,5/27/2023,Success
americanexpress,3.74289E+14,02/12/2024,Pending
americanexpress,3.74622E+14,09/03/2023,Pending
visa,4.01795E+12,11/27/2023,Pending
americanexpress,3.74288E+14,02/06/2024,Pending
mastercard,5100149881892981,7/22/2023,Pending
visa,4041378604994361,06/10/2023,Pending
visa,4.01795E+12,1/29/2024,Pending
mastercard,5108752189003557,03/04/2023,Pending
americanexpress,3.37941E+14,5/17/2023,Pending
mastercard,5048372795567656,8/31/2023,Pending
mastercard,5002359829321246,10/23/2023,Pending
mastercard,5002358376190798,12/17/2023,Success
mastercard,5108752863789380,1/17/2024,Success
americanexpress,3.74623E+14,12/20/2023,Success
americanexpress,3.72301E+14,09/03/2023,Success
mastercard,5100148982383536,08/02/2023,Success
mastercard,5010120880322253,1/19/2024,Success
visa,4.01795E+12,10/09/2023,Success
mastercard,5007664496147765,9/27/2023,Success
mastercard,5108752474315963,12/17/2023,Success
americanexpress,3.37941E+14,12/20/2023,Success
americanexpress,3.74622E+14,06/01/2023,Success
americanexpress,3.74622E+14,9/15/2023,Success
americanexpress,3.37941E+14,3/15/2023,Success
mastercard,5002355297031358,02/12/2024,Success
mastercard,5007661297530413,10/02/2023,Success
visa,4.04159E+12,09/03/2023,Success
americanexpress,3.74622E+14,01/10/2024,Success
mastercard,5007661041022600,04/12/2023,Success
mastercard,5100141690228929,12/03/2023,Success
americanexpress,3.37942E+14,10/22/2023,Success
americanexpress,3.74288E+14,08/03/2023,Success
americanexpress,3.74289E+14,9/27/2023,Success
americanexpress,3.74623E+14,3/27/2023,Success
mastercard,5002354545180000,1/22/2024,Success
mastercard,5002357820316561,3/20/2023,Success
mastercard,5010122770083417,6/27/2023,Success
americanexpress,3.74289E+14,12/22/2023,Success
americanexpress,3.74622E+14,05/12/2023,Success
americanexpress,3.37942E+14,2/20/2024,Success
visa,4041377935634308,12/03/2023,Success
mastercard,5100139511274031,12/18/2023,Success
visa,4.01795E+12,10/03/2023,Success
americanexpress,3.74283E+14,12/06/2023,Success
americanexpress,3.37942E+14,2/22/2024,Success
americanexpress,3.74289E+14,6/19/2023,Success
mastercard,5100143808161521,09/11/2023,Success
visa,4.04137E+12,05/03/2023,Success
americanexpress,3.74623E+14,8/13/2023,Failed
americanexpress,3.74288E+14,7/26/2023,Failed
visa,4.04159E+12,11/04/2023,Failed
americanexpress,3.72302E+14,06/04/2023,Failed
mastercard,5100139327050674,1/24/2024,Failed
visa,4.04137E+12,1/19/2024,Failed
visa,4017954610779598,02/08/2024,Failed
americanexpress,3.37942E+14,1/27/2024,Success
mastercard,5048379011459428,3/25/2023,Success
mastercard,5002357730283869,01/06/2024,Success
mastercard,5100176965887199,12/26/2023,Success
visa,4.01795E+12,11/06/2023,Success
americanexpress,3.74623E+14,3/20/2023,Success
visa,4.0416E+12,01/03/2024,Success
visa,4041598881975482,06/05/2023,Success
mastercard,5048375831757660,03/09/2023,Success
mastercard,5100132111339114,05/12/2023,Success
visa,4017958897721652,08/07/2023,Success
mastercard,5100144351414838,12/23/2023,Success
americanexpress,3.37941E+14,1/15/2024,Success
mastercard,5100175152775332,7/25/2023,Success
americanexpress,3.37941E+14,9/20/2023,Success
americanexpress,3.37942E+14,3/28/2023,Success
americanexpress,3.74283E+14,2/22/2024,Pending
mastercard,5100142180211466,5/29/2023,Pending
americanexpress,3.74623E+14,04/12/2023,Pending
americanexpress,3.74283E+14,6/29/2023,Pending
visa,4041591660320251,4/19/2023,Pending
visa,4.04138E+12,9/30/2023,Pending
mastercard,5007666105637409,6/21/2023,Pending
mastercard,5100143574980351,12/02/2023,Pending
americanexpress,3.37942E+14,7/30/2023,Pending
mastercard,5100174267801349,12/10/2023,Pending
americanexpress,3.74288E+14,10/12/2023,Pending
americanexpress,3.74288E+14,08/03/2023,Success
americanexpress,3.37941E+14,09/06/2023,Success
mastercard,5100133580327234,4/17/2023,Success
americanexpress,3.72302E+14,5/19/2023,Success
americanexpress,3.37941E+14,05/06/2023,Success
mastercard,5010128739116826,11/16/2023,Success
mastercard,5007663148123943,10/01/2023,Success
mastercard,5100144749876458,12/08/2023,Success
mastercard,5010121309509348,1/29/2024,Success
visa,4.0416E+12,10/31/2023,Success
mastercard,5100133170662859,4/29/2023,Success
americanexpress,3.72301E+14,03/08/2023,Success
visa,4.04138E+12,2/18/2024,Success
mastercard,5002359940450247,09/12/2023,Success
mastercard,5048375540476057,8/25/2023,Success
americanexpress,3.74288E+14,03/12/2023,Success
americanexpress,3.37942E+14,4/19/2023,Success
visa,4.04137E+12,05/09/2023,Success
americanexpress,3.74623E+14,12/15/2023,Success
americanexpress,3.37942E+14,03/01/2024,Success
visa,4.01795E+12,6/27/2023,Success
americanexpress,3.72301E+14,6/29/2023,Success
americanexpress,3.37941E+14,01/09/2024,Success
visa,4.04137E+12,4/16/2023,Success
americanexpress,3.74623E+14,1/22/2024,Success
americanexpress,3.74623E+14,7/23/2023,Success
visa,4.04159E+12,5/21/2023,Success
mastercard,5010120801680805,02/06/2024,Success
americanexpress,3.37942E+14,1/23/2024,Success
mastercard,5108757474507642,08/01/2023,Success
americanexpress,3.74289E+14,4/22/2023,Success
americanexpress,3.74283E+14,4/18/2023,Success
mastercard,5048372362387082,6/23/2023,Success
americanexpress,3.74288E+14,10/12/2023,Success
mastercard,5108756607938039,7/30/2023,Success
mastercard,5007661282165043,7/27/2023,Success
visa,4.0416E+12,5/16/2023,Success
americanexpress,3.74289E+14,9/23/2023,Failed
mastercard,5048378471769417,07/10/2023,Failed
mastercard,5100143217005954,05/03/2023,Failed
visa,4.04137E+12,07/09/2023,Failed
mastercard,5100177396209268,12/14/2023,Failed
americanexpress,3.74622E+14,8/27/2023,Failed
visa,4.04159E+12,10/22/2023,Failed
mastercard,5100141002519189,10/30/2023,Success
mastercard,5100135523522201,6/29/2023,Success
visa,4041591414588559,11/17/2023,Success
americanexpress,3.37941E+14,1/14/2024,Success
mastercard,5108759913309556,3/24/2023,Success
mastercard,5100177724279181,9/27/2023,Success
americanexpress,3.37941E+14,4/27/2023,Success
mastercard,5100132174826395,08/12/2023,Success
mastercard,5002351363572839,03/06/2023,Success
visa,4041594256016028,7/26/2023,Success
americanexpress,3.37942E+14,1/17/2024,Success
mastercard,5007667883769737,10/01/2023,Success
visa,4.01795E+12,12/15/2023,Success
mastercard,5100172763774408,07/07/2023,Success
americanexpress,3.74284E+14,3/14/2023,Success
visa,4.01795E+12,9/22/2023,Success
americanexpress,3.72302E+14,8/28/2023,Success
visa,4.01795E+12,11/19/2023,Success
mastercard,5108755987692919,3/21/2023,Success
americanexpress,3.72302E+14,11/21/2023,Success
americanexpress,3.37942E+14,11/07/2023,Success
visa,4.04159E+12,12/22/2023,Success
mastercard,5100173965905220,07/11/2023,Success
mastercard,5100147610099175,7/13/2023,Success
mastercard,5048379839951655,6/26/2023,Success
mastercard,5010122601801821,11/03/2023,Success
americanexpress,3.74283E+14,7/15/2023,Success
visa,4.0416E+12,09/10/2023,Success
visa,4041590206090840,08/04/2023,Success
mastercard,5100179641518139,8/17/2023,Success
visa,4017956556598155,11/03/2023,Success
mastercard,5002351497005128,5/16/2023,Success
visa,4041597919355568,05/11/2023,Success
visa,4041370078952314,11/16/2023,Success
mastercard,5100177184084964,3/24/2023,Success
americanexpress,3.72301E+14,5/17/2023,Success
mastercard,5100139794357925,6/19/2023,Success
mastercard,5002359103813496,11/30/2023,Success
mastercard,5048377429162667,3/14/2023,Success
americanexpress,3.74622E+14,12/21/2023,Success
americanexpress,3.37941E+14,10/03/2023,Success
americanexpress,3.37942E+14,1/13/2024,Failed
mastercard,5002356838709379,10/30/2023,Success
americanexpress,3.37941E+14,1/26/2024,Success
mastercard,5108750686712431,07/12/2023,Success
mastercard,5010120972018710,07/08/2023,Success
mastercard,5007662525350327,6/14/2023,Success
americanexpress,3.37942E+14,12/16/2023,Success
visa,4041590774319019,7/29/2023,Success
mastercard,5108757393701706,02/06/2024,Success
visa,4041599168525776,03/05/2023,Success
americanexpress,3.72301E+14,04/12/2023,Success
visa,4.04138E+12,8/23/2023,Success
